,,,,,,,,,,,
,2024,,2023
Long-lived assets:,,,
U.S.,$,"35,664",,,$,"33,276",
China (1),"4,797",,,"5,778",
Other countries,"5,219",,,"4,661",
Total long-lived assets,$,"45,680",,,$,"43,715",
