,,,,,,,,,,,,,,,,,
,2024,,2023,,2022
Provision for income taxes,$,"29,749",,,$,"16,741",,,$,"19,300",
Effective tax rate,24.1,%,,14.7,%,,16.2,%
Statutory federal income tax rate,21,%,,21,%,,21,%
