,,,,,,,,,,,
,2024,,2023
Derivative instruments designated as accounting hedges:,,,
Foreign exchange contracts,$,"64,069",,,$,"74,730",
Interest rate contracts,$,"14,575",,,$,"19,375",
,,,
Derivative instruments not designated as accounting hedges:,,,
Foreign exchange contracts,$,"91,493",,,$,"104,777",
