,,,,,,,,,,,,,,,,,
Gross margin percentage:,,,,,
Products,37.2,%,,36.5,%,,36.3,%
Services,73.9,%,,70.8,%,,71.7,%
Total gross margin percentage,46.2,%,,44.1,%,,43.3,%
