,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest RateSensitive Instrument,,Hypothetical InterestRate Increase,,Potential Impact,,2024,,2023
Investment portfolio,,"100 basis points, all tenors",,Decline in fair value,,$,"2,755",,,$,"3,089",
Term debt,,"100 basis points, all tenors",,Increase in annual interest expense,,$,139,,,$,194,
